cpimfp 1.0
pi0mfp 0.34
picex 0.27
piinel 1.0
cpiabs 1.0
pi0abs 1.0
pipiprod 1.0
nmfp 1.0
ncex 1.39
ninel 1.0
nabs 0.48
npiprod 1.09
srcfr 0.09
nurmec 0.01
